------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <hlfsr_200.txt>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
  0   0   0   0   0 200   0   0   0   0  0.000000 *  200/200     NonOverlappingTemplate
  0   0   0   0   0 200   0   0   0   0  0.000000 *  200/200     NonOverlappingTemplate
  0   0   0   0   0 200   0   0   0   0  0.000000 *  200/200     NonOverlappingTemplate
  0   0   0   0   0 200   0   0   0   0  0.000000 *  200/200     NonOverlappingTemplate
  0   0   0   0   0 200   0   0   0   0  0.000000 *  200/200     NonOverlappingTemplate
  0   0   0   0   0 200   0   0   0   0  0.000000 *  200/200     NonOverlappingTemplate
 20  24  17  26  17  17  12  19  22  26  0.419021    199/200     OverlappingTemplate
 19  20  26  27  19  13  13  19  15  29  0.102526    197/200     Universal
 17  18  21  25  19  21  19  23  21  16  0.946308    200/200     ApproximateEntropy
 11  10  15  12  10   9  21  10  13  12  0.399734    121/123     RandomExcursions
 13   6  16  15   6  20   6  13  17  11  0.027405    121/123     RandomExcursions
 14  14  13  14   7  13  12  12  10  14  0.916811    122/123     RandomExcursions
 16  13  16  15  11  11  12   6  11  12  0.663130    122/123     RandomExcursions
 20   6   8  18  11  12  10   9  13  16  0.084294    122/123     RandomExcursions
  8  12  15  11  12  12  11  18  11  13  0.796580    122/123     RandomExcursions
  8   9  12  13  14  14  11  12  15  15  0.881915    123/123     RandomExcursions
 15  13  17  15   8  14  11  11  10   9  0.680410    121/123     RandomExcursions
 10  11  13  13  12  14  14  10  12  14  0.992718    123/123     RandomExcursionsVariant
  7  18  15   8  10  14  15  16  10  10  0.305353    123/123     RandomExcursionsVariant
  9  18  11   8  20  10  16   6  14  11  0.076109    123/123     RandomExcursionsVariant
 11  22   9   7  11  13  12  18   9  11  0.084294    123/123     RandomExcursionsVariant
 12  19   5  11  15  13  13  11  16   8  0.218048    123/123     RandomExcursionsVariant
